Date,Close
2017-10-05,1141.41
2017-10-06,1144.31
2017-10-09,1142.81
2017-10-10,1134.31
2017-10-11,1131.91
2017-10-12,1131.89
2017-10-13,1125.67
2017-10-16,1127.28
2017-10-17,1130.21
2017-10-18,1131.87
2017-10-19,1128.01
2017-10-20,1131.31
2017-10-23,1129.85
2017-10-24,1129.93
2017-10-25,1126.81
2017-10-26,1127.75
2017-10-27,1124.97
2017-10-30,1123.78
2017-10-31,1117.42
2017-11-01,1110.51
2017-11-02,1111.35
2017-11-03,1115.29
2017-11-06,1111.83
2017-11-07,1112.93
2017-11-08,1113.31
2017-11-09,1117.44
2017-11-10,1119.87
2017-11-13,1118.89
2017-11-14,1114.51
2017-11-15,1104.69
2017-11-16,1096.18
2017-11-17,1093.32
2017-11-20,1096.03
2017-11-21,1090.13
2017-11-22,1085.06
2017-11-23,1082.99
2017-11-24,1084.61
2017-11-27,1090.69
2017-11-28,1082.95
2017-11-29,1081.09
2017-11-30,1087.13
2017-12-01,1082.47
2017-12-04,1085.29
2017-12-05,1086.62
2017-12-06,1092.99
2017-12-07,1092.6
2017-12-08,1091.85
2017-12-11,1087.84
2017-12-12,1091.89
2017-12-13,1083.55
2017-12-14,1088.22
2017-12-15,1087.95
2017-12-18,1085.05
2017-12-19,1084.67
2017-12-20,1079.56
2017-12-21,1079.54
2017-12-22,1076.74
2017-12-25,1075.56
2017-12-26,1075.12
2017-12-27,1074.22
2017-12-28,1069.25
2017-12-29,1066.37
2018-01-01,1065.59
2018-01-02,1062.21
2018-01-03,1064.13
2018-01-04,1061.27
2018-01-05,1061.53
2018-01-08,1067.86
2018-01-09,1070.97
2018-01-10,1069.14
2018-01-11,1064.57
2018-01-12,1058.99
2018-01-15,1062.43
2018-01-16,1063.65
2018-01-17,1066.36
2018-01-18,1069.69
2018-01-19,1067.11
2018-01-22,1068.4
2018-01-23,1072.89
2018-01-24,1063.98
2018-01-25,1065.47
2018-01-26,1063.67
2018-01-29,1069.95
2018-01-30,1072.23
2018-01-31,1069.08
2018-02-01,1069.94
2018-02-02,1089.37
2018-02-05,1094.13
2018-02-06,1079.06
2018-02-07,1089.24
2018-02-08,1096.58
2018-02-09,1084.67
2018-02-12,1081.6
2018-02-13,1084.05
2018-02-14,1069.91
2018-02-15,1063.14
2018-02-16,1066.19
2018-02-19,1066.41
2018-02-20,1073.91
2018-02-21,1075.01
2018-02-22,1079.72
2018-02-23,1076
2018-02-26,1069.67
2018-02-27,1080.45
2018-02-28,1084.21
2018-03-01,1081.83
2018-03-02,1078.69
2018-03-05,1076.67
2018-03-06,1062.96
2018-03-07,1066.43
2018-03-08,1073.11
2018-03-09,1064.38
